Foundation type (group),Project Name,Status,Total Project Capacity,Year awarded (group),Commissioning date,Distance To Shore Average,Number Of Turbines,Owner,Status,To_Show_Turbine_Manufacturer,Total Project Capacity,Water Depth Average,GIS Latitude,GIS Longitude
Gravity Base,Blyth Demonstrator Project Phase 2,Online,41.5,Unknown,2017,6.5,5,EDF Renouvelables,Online,MHI Vestas Offshore Wind,41.5,47,55.166,-1.369
Gravity Base,Middelgrunden,Online,40,Unknown,2001,5,20,HOFOR & Middelgrunden Cooperative,Online,SIEMENS Wind Power A/S,40,4,55.41276,12.4084
Gravity Base,Thornton Bank I,Online,30,Unknown,2009,28.5,6,DEME NV & EDF Renouvelables & Marguerite Fund & Nuhma & RWE & Société régionale d'investissement de Wallonie & Socofe,Online,Senvion,30,19.5,51.5454,2.9378
Monopile,Taranto,Online,30,2016,2022,3,10,Renexia,Online,MingYang,30,11,40.485,17.137
Spar,Hywind Scotland,Online,30,Unknown,2017,25,5,Equinor & Masdar,Online,SIEMENS Wind Power A/S,30,108,57.484,-1.363
Gravity Base,Gässlingegrund/Vänern,Online,30,Unknown,2009,4,10,Drift & Vänern,Online,Winwind Ltd,30,7,59.262,13.387
Jacket,Nissum Bredning,Online,28,Unknown,2018,1,4,Jysk Energi & Nissum Bredning Vindmollelaug,Online,Siemens Gamesa,28,3,56.669,8.245
Artificial Island,Ajos,Online,26.4,Unknown,2017,1,8,IKEA,Online,SIEMENS Wind Power A/S,26.4,3,65.6546,24.5313
Monopile,Arklow Bank,Online,25.2,Unknown,2004,10,7,GE Renewable Energy,Online,GE Renewable Energy,25.2,3.75,52.7912,-5.9492
Semi-Sub,Windfloat Atlantic,Online,25,Unknown,2020,30,3,Ocean Winds & Principle Power & Repsol,Online,Vestas Wind Systems,25,100,41.569,-9.133
Monopile,Samsø,Online,23,Unknown,2003,3.5,10,Difko & Samso Kommune,Online,SIEMENS Wind Power A/S,23,14.5,55.723,10.584
Gravity Base,Sprogø,Online,21,Unknown,2009,2,7,Sund & Baelt,Online,MHI Vestas Offshore Wind,21,11,55.343,10.9579
Monopile,Borssele 5,Online,19,2018,2020,75,2,Green Giraffe Holding & Investri Offshore B.V. & Octopus Energy Generation & Van Oord,Online,MHI Vestas Offshore Wind,19,27,51.709,3.003
Pile Cap,"Rønland, Harboøre",Online,17.2,Unknown,2004,,8,Harboøre Møllelaug & Thyborøn-Harboøre Vindmøllelaug & Vindenergi,Online,SIEMENS Wind Power A/S,17.2,,56.6628,8.22
Monopile,Gunfleet Sands 3 Demonstrator,Online,12,Unknown,2013,7,2,Ørsted,Online,SIEMENS Wind Power A/S,12,8.5,51.7298,1.2383
Gravity Base,Avedøre Holme,Online,10.8,Unknown,2011,0.4,3,Hvidovre Vindmollelaug & Ørsted,Online,SIEMENS Wind Power,10.8,0.5,55.6006,12.4639
Jacket,Beatrice Demonstrator,Online,10,Unknown,2007,25,2,SSE Renewables & Talisman Energy,Online,Senvion,10,45,58.0981,-3.0784
Monopile & Suction Bucket Monopile,Frederikshavn (test site),Online,7.6,Unknown,2003,3.1,3,EDF Renouvelables,Online,Nordex,7.6,2.5,57.4429,10.5636
Jacket,Levenmouth Demonstration Turbine,Online,7,Unknown,2014,0.2,1,ORE Catapult,Online,Samsung Heavy Industries Co,7,2,56.173,-3.018
Jacket,Belwind GE Haliade Demonstrator,Online,6,Unknown,2013,45,1,GE Renewable Energy,Online,GE Renewable Energy,6,26,51.688,2.836
Gravity Base,Tunø Knob,Online,5,Unknown,1995,6,10,Eurowind Energy A/S,Online,MHI Vestas Offshore Wind,5,2.4,55.9682,10.3548
Gravity Base,ELISA ELICAN,Online,5,Unknown,2018,1,1,Esteyco,Online,ADWEN,5,30,28.04754,-15.39173
Monopile,Dollart Emden,Online,4.5,Unknown,2004,1,1,EWE,Online,Enercon,4.5,3,53.3324,7.21
Spar,TetraSpar Demo (Metcentre),Online,3.6,NA,2021,10,1,RWE & Shell & Stiesdal Offshore Technologie & TEPCO Renewables,Online,SIEMENS Wind Power,3.6,200,59.1508,5.0135
Monopile,Bockstigen (blade upgraded),Online,3.3,Unknown,2018,3,5,Momemtum Gruppen,Online,Vestas Wind Systems,3.3,7,57.0358,18.1497
Gravity Base,Breitling,Online,3,Unknown,2006,0.5,1,Skyborn Renewables,Online,Nordex,3,2,54.1617,12.1318
Steel Coffer Gravity Base,Pori Tahkoluoto 1,Online,2.3,Unknown,2010,11,1,Suomen Hyötytuuli Oy,Online,SIEMENS Wind Power A/S,2.3,15,61.6244,21.3524
Spar,Hywind Demonstrator,Online,2.3,Unknown,2009,7,1,UNITECH Offshore,Online,SIEMENS Wind Power A/S,2.3,220,59.14,5.03
Semi-Sub,Kincardine Pilot,Online,2,Unknown,2018,15,1,Cobra Wind International & Pilot Offshore Renewable Energy,Online,Vestas Wind Systems,2,77,57.016,-1.792
Barge,Floatgen (SEM-REV),Online,2,Unknown,2018,20,1,Ecole Centrale Nantes & Gamesa & BW Ideol & IWES & RSK Environment & Universität Stuttgart & Zabals Innovation Consulting,Online,Vestas Wind Systems,2,30,47.239,-2.779
Barge,DemoSATH (BIMEP),Online,2,NA,2022,18,1,RWE & SAITEC Offshore Technologies,Online,Not decided yet,2,85,43.465,-2.88
Spar,SeaTwirl S1,Online,0.3,Unknown,2015,0.3,1,SeaTwirl,Online,SeaTwirl,0.3,30,58.276,11.464
